Date,AAPL,QQQ,SPY,TSLA
2022-06-02,148.2343292236328,306.54541015625,394.96514892578125,258.3333435058594
2022-06-03,142.51901245117188,298.56927490234375,388.4832458496094,234.51666259765625
2022-06-06,143.26409912109375,299.5638427734375,389.66607666015625,238.27999877929688
2022-06-07,145.78350830078125,302.1477355957031,393.4038391113281,238.8866729736328
2022-06-08,145.0482940673828,299.9733581542969,389.12664794921875,241.86666870117188
2022-06-09,139.83297729492188,291.9386901855469,379.8720703125,239.7066650390625
2022-06-10,134.43141174316406,281.641845703125,368.8575439453125,232.22999572753906
2022-06-13,129.28472900390625,268.546630859375,354.8526611328125,215.73666381835938
2022-06-14,130.1473846435547,269.0341796875,353.78338623046875,220.88999938964844
2022-06-15,132.764892578125,275.7524108886719,358.8269958496094,233.0
2022-06-16,127.5005111694336,264.6268005371094,346.95123291015625,213.10000610351562
2022-06-17,128.97103881835938,267.8445129394531,347.69921875,216.75999450683594
2022-06-21,133.19615173339844,274.60211181640625,356.4520568847656,237.0366668701172
2022-06-22,132.6864471435547,274.2015686035156,355.8057861328125,236.086669921875
2022-06-23,135.54901123046875,278.2852783203125,359.2935791015625,235.07000732421875
2022-06-24,138.87225341796875,287.8203125,370.7169189453125,245.7066650390625
2022-06-27,138.87225341796875,285.7100830078125,369.3008728027344,244.9199981689453
2022-06-28,134.73532104492188,277.0054931640625,361.7550354003906,232.663330078125
2022-06-29,136.49009704589844,277.2593994140625,361.4604187011719,228.49000549316406
2022-06-30,134.0294647216797,273.8205261230469,358.5238342285156,224.47332763671875
2022-07-01,136.1959228515625,275.6279296875,362.31573486328125,227.26333618164062
2022-07-05,138.77423095703125,280.3465576171875,363.0000305175781,233.06666564941406
2022-07-06,140.10740661621094,282.1441650390625,364.2259826660156,231.73333740234375
2022-07-07,143.46995544433594,288.1817321777344,369.68109130859375,244.5433349609375
2022-07-08,144.1463623046875,288.5433044433594,369.3769836425781,250.76333618164062
2022-07-11,142.01910400390625,282.3786926269531,365.1573181152344,234.3433380126953
2022-07-12,142.9896240234375,279.64312744140625,361.92608642578125,233.07000732421875
2022-07-13,142.62689208984375,279.0668640136719,360.025390625,237.0399932861328
2022-07-14,145.54823303222656,280.0633239746094,359.15106201171875,238.31333923339844
2022-07-15,147.2147979736328,285.1434326171875,366.0126647949219,240.06666564941406
2022-07-18,144.17579650878906,282.7303771972656,362.99053955078125,240.54666137695312
2022-07-19,148.02845764160156,291.4252014160156,372.7981872558594,245.52999877929688
2022-07-20,150.02830505371094,296.04620361328125,375.1741943359375,247.5
2022-07-21,152.2928466796875,300.2960205078125,378.99462890625,271.7066650390625
2022-07-22,151.0576629638672,295.0302429199219,375.4783020019531,272.24334716796875
2022-07-25,149.9400634765625,293.3498840332031,375.93450927734375,268.4333190917969
2022-07-26,148.61663818359375,287.5858459472656,371.48681640625,258.8599853515625
2022-07-27,153.70452880859375,299.7391357421875,381.1329040527344,274.82000732421875
2022-07-28,154.2534942626953,302.6699523925781,385.9132995605469,280.8999938964844
2022-07-29,159.31195068359375,308.1897888183594,391.5393371582031,297.1499938964844
2022-08-01,158.3316192626953,308.004150390625,390.3799133300781,297.27667236328125
2022-08-02,156.8611297607422,307.0858459472656,387.804443359375,300.586669921875
2022-08-03,162.8607177734375,315.4485778808594,393.8772277832031,307.39666748046875
2022-08-04,162.54702758789062,316.9237060546875,393.6111755371094,308.6333312988281
2022-08-05,162.3212432861328,314.3348693847656,392.9458923339844,288.1700134277344
2022-08-08,161.85000610351562,313.31878662109375,392.4897155761719,290.42333984375
2022-08-09,161.8990936279297,309.77239990234375,390.93109130859375,283.3333435058594
2022-08-10,166.13999938964844,318.4184875488281,399.1423034667969,294.3566589355469
2022-08-11,165.40370178222656,316.6111145019531,399.1423034667969,286.6300048828125
2022-08-12,168.9475860595703,322.77569580078125,405.8993225097656,300.0299987792969
2022-08-15,170.01760864257812,325.3841552734375,407.5718688964844,309.32000732421875
2022-08-16,169.86056518554688,324.6221008300781,408.3702392578125,306.5633239746094
2022-08-17,171.35269165039062,320.9194641113281,405.4716491699219,303.9966735839844
2022-08-18,170.96002197265625,321.69134521484375,406.6501770019531,302.8699951171875
2022-08-19,168.378173828125,315.41925048828125,401.18548583984375,296.6666564941406
2022-08-22,164.50054931640625,307.1151123046875,392.8318176269531,289.913330078125
2022-08-23,164.1667938232422,306.8611145019531,391.8815002441406,296.4533386230469
2022-08-24,164.46128845214844,307.75018310546875,393.1359558105469,297.0966796875
2022-08-25,166.91549682617188,313.1917724609375,398.6860656738281,296.07000732421875
2022-08-26,160.62289428710938,300.3545837402344,385.19097900390625,288.0899963378906
2022-08-29,158.42391967773438,297.3944091796875,382.64398193359375,284.82000732421875
2022-08-30,155.99916076660156,294.0825500488281,378.4433898925781,277.70001220703125
2022-08-31,154.34011840820312,292.3729248046875,375.56378173828125,275.6099853515625
2022-09-01,155.06658935546875,292.4998779296875,376.74224853515625,277.1600036621094
2022-09-02,152.95594787597656,288.3674011230469,372.76971435546875,270.2099914550781
2022-09-06,151.69937133789062,286.2962341308594,371.3631591796875,274.4200134277344
2022-09-07,153.1032257080078,292.079833984375,378.0347595214844,283.70001220703125
2022-09-08,151.63067626953125,293.5940856933594,380.5057067871094,289.260009765625
2022-09-09,154.4873809814453,300.0126953125,386.4168701171875,299.67999267578125
2022-09-12,160.43637084960938,303.57855224609375,390.5700378417969,304.4200134277344
2022-09-13,151.02207946777344,286.93121337890625,373.5870666503906,292.1300048828125
2022-09-14,152.4651336669922,289.20751953125,375.0126953125,302.6099853515625
2022-09-15,149.5789794921875,284.3911437988281,370.7550048828125,303.75
2022-09-16,147.93959045410156,282.6521301269531,367.9264831542969,303.3500061035156
2022-09-19,151.65032958984375,284.8533630371094,370.77972412109375,309.07000732421875
2022-09-20,154.0260009765625,282.5827331542969,366.5237731933594,308.7300109863281
2022-09-21,150.9042510986328,277.5227966308594,360.1302185058594,300.79998779296875
2022-09-22,149.94223022460938,274.1071472167969,357.10516357421875,288.5899963378906
2022-09-23,147.67449951171875,269.6441650390625,351.1219177246094,275.3299865722656
2022-09-26,148.00827026367188,268.5284423828125,347.6483154296875,276.010009765625
2022-09-27,148.9801483154297,268.63616943359375,346.7608947753906,282.94000244140625
2022-09-28,147.09530639648438,273.9798278808594,353.5838928222656,287.80999755859375
2022-09-29,139.8701171875,266.0816650390625,346.19793701171875,268.2099914550781
2022-09-30,135.66854858398438,261.56982421875,340.844482421875,265.25
2022-10-03,139.84066772460938,267.70635986328125,349.8431701660156,242.39999389648438
2022-10-04,143.42384338378906,276.1232604980469,360.6836853027344,249.44000244140625
2022-10-05,143.7183380126953,275.9764099121094,359.8438720703125,240.80999755859375
2022-10-06,142.76608276367188,273.8037414550781,356.1318359375,238.1300048828125
2022-10-07,137.52394104003906,263.3706359863281,346.19793701171875,223.07000732421875
2022-10-10,137.8478546142578,260.7379150390625,343.5545349121094,222.9600067138672
2022-10-11,136.43426513671875,257.15582275390625,341.3788146972656,216.5
2022-10-12,135.80596923828125,257.0677795410156,340.2527770996094,217.24000549316406
2022-10-13,140.37078857421875,263.0965881347656,349.2324523925781,221.72000122070312
2022-10-14,135.8452606201172,255.1886444091797,341.2738952636719,204.99000549316406
2022-10-17,139.80145263671875,263.6153564453125,350.04364013671875,219.35000610351562
2022-10-18,141.11691284179688,265.70001220703125,354.156494140625,220.19000244140625
2022-10-19,141.224853515625,264.7310791015625,351.6466369628906,222.0399932861328
2022-10-20,140.76344299316406,263.38043212890625,348.69805908203125,207.27999877929688
2022-10-21,144.57240295410156,269.55609130859375,357.1719665527344,214.44000244140625
2022-10-24,146.71249389648438,272.52154541015625,361.54248046875,211.25
2022-10-25,149.54949951171875,278.15899658203125,367.3157958984375,222.4199981689453
2022-10-26,146.61434936523438,272.0126647949219,364.54840087890625,224.63999938964844
2022-10-27,142.14764404296875,267.0604248046875,362.6017150878906,225.08999633789062
